City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
285,santiago de cao,-7.9589,-79.2392,25.07,88,100,3.09,PE,1706563319
286,bodo,67.28,14.405,5.02,69,75,18.52,NO,1706563320
287,toamasina,-18.1667,49.3833,24.0,94,75,3.09,MG,1706563320
288,chunskiy,56.0815,99.6342,-34.62,100,14,1.3,RU,1706563321
289,kismayo,-0.3582,42.5454,26.6,85,100,7.2,SO,1706563321
290,palmerston,-12.486,130.9833,26.07,90,75,4.12,AU,1706563071
291,guelph,43.5501,-80.2497,4.61,66,100,2.15,CA,1706562553
292,acarau,-2.8856,-40.12,27.92,78,93,8.07,BR,1706563323
293,posse,-14.0931,-46.3694,23.24,87,67,2.75,BR,1706563324
294,isangel,-19.55,169.2667,28.06,69,75,2.06,VU,1706563325
295,labytnangi,66.6572,66.4183,-25.41,100,99,1.33,RU,1706563325
296,polyarnyy,69.1989,33.4478,0.62,66,86,15.38,RU,1706563326
297,salmon arm,50.6998,-119.3024,6.62,87,100,0.51,CA,1706563214
298,gadzhiyevo,69.2551,33.3362,0.24,66,82,16.04,RU,1706563327
299,lakatoro,-16.0999,167.4164,27.56,74,100,3.02,VU,1706563328
300,klaksvik,62.2266,-6.589,8.51,82,77,14.12,FO,1706563328
301,eura,61.1333,22.1333,-0.12,96,100,1.27,FI,1706563329
302,kone,-21.0595,164.8658,27.35,69,91,0.22,NC,1706563330
303,tres palos,18.1833,-101.6167,32.28,30,100,1.66,MX,1706563330
304,chumphon,10.3333,98.8333,20.29,94,6,1.12,TH,1706563331
305,fuyuan,46.4333,127.0833,-29.24,100,90,1.02,CN,1706563332
306,constantia,44.1833,28.65,1.5,83,100,9.13,RO,1706563332
307,le morne-rouge,14.7667,-61.1333,21.76,74,13,5.54,MQ,1706563333
308,al ghayzah,16.2079,52.176,24.23,78,79,3.25,YE,1706563333
309,mugia,43.1041,-9.2179,12.17,85,72,2.98,ES,1706563334
310,conception bay south,47.4999,-52.9981,-1.92,95,100,7.96,CA,1706563334
311,vikhorevka,56.1201,101.1636,-29.23,100,18,0.63,RU,1706563335
312,nar'yan-mar,67.6713,53.087,-4.94,91,100,11.62,RU,1706563336
313,gilgit,35.9221,74.3087,4.63,74,98,0.98,PK,1706563337
314,odienne,9.51,-7.5692,26.28,16,11,1.63,CI,1706563337
315,vylkove,45.4021,29.586,2.68,76,100,6.41,UA,1706563338
316,staunton,38.1496,-79.0717,10.53,47,0,3.6,US,1706563324
317,prado,-17.3411,-39.2208,26.37,83,100,4.75,BR,1706563339
318,visakhapatnam,17.69,83.2093,19.94,100,20,1.03,IN,1706563033
319,callao,-12.0667,-77.15,28.16,65,0,5.14,PE,1706563093
320,santa maria del rio,21.8,-100.75,21.29,25,96,3.86,MX,1706563340
321,fort bragg,35.139,-79.006,15.08,41,0,4.92,US,1706563341
322,santa cruz,-17.8,-63.1667,32.03,48,40,4.63,BO,1706563303
323,kirensk,57.7853,108.1119,-38.91,100,66,0.45,RU,1706563342
324,hard bargain,26.3167,-77.5667,19.5,60,0,10.57,BS,1706563342
325,asasa,7.1,39.2,15.74,67,99,1.23,ET,1706563343
326,varadero,23.1536,-81.2514,20.42,59,13,9.09,CU,1706563157
327,port saint john's,-31.6229,29.5448,24.87,91,100,5.86,ZA,1706563344
328,tenenkou,14.4572,-4.9169,24.26,12,100,4.14,ML,1706563345
329,hotan,37.0997,79.9269,-1.78,47,94,1.51,CN,1706563346
330,mogadishu,2.0371,45.3438,26.43,87,60,7.98,SO,1706563347
331,karratha,-20.7377,116.8463,25.98,75,44,6.22,AU,1706563347
332,nogliki,51.8333,143.1667,-15.11,94,100,1.92,RU,1706563349
333,el calafate,-50.3408,-72.2768,15.48,59,77,5.14,AR,1706563280
334,ketchikan,55.3422,-131.6461,10.26,81,100,9.77,US,1706563351
335,winnemucca,40.973,-117.7357,16.03,44,0,5.66,US,1706563351
336,kailua-kona,19.6406,-155.9956,27.98,79,75,7.2,US,1706563352
337,tromso,69.6496,18.957,1.01,75,75,12.86,NO,1706563352
338,weno,7.4515,151.8468,25.97,89,100,3.6,FM,1706563353
339,nguigmi,14.2495,13.1092,21.0,25,19,6.55,NE,1706563353
340,faya-largeau,17.9257,19.1043,18.55,27,14,9.58,TD,1706563354
341,colonia,50.9333,6.95,10.46,82,0,2.57,DE,1706563056
342,ironwood,46.4547,-90.171,2.12,80,75,3.09,US,1706563355
343,jabor,5.921,169.6434,27.16,86,100,9.26,MH,1706563355
344,esqueda,30.7167,-109.5833,19.33,24,100,1.0,MX,1706563356
345,waddan,29.1614,16.139,11.27,53,24,4.36,LY,1706563356
346,samsun,41.25,36.3333,3.42,93,75,1.54,TR,1706563357
347,piacabucu,-10.4056,-36.4344,26.98,77,0,4.76,BR,1706563357
348,quellon,-43.1167,-73.6167,16.19,58,97,3.26,CL,1706563358
349,amahai,-3.3333,128.9167,26.18,80,86,1.86,ID,1706563358
350,lorengau,-2.0226,147.2712,27.92,80,100,5.54,PG,1706563359
351,ancud,-41.8697,-73.8203,17.04,58,98,2.57,CL,1706563359
352,kapit,2.0167,112.9333,23.31,100,100,0.26,MY,1706563360
353,ziniare,12.5822,-1.2983,23.02,15,3,4.25,BF,1706563360
354,arar,30.9753,41.0381,11.01,43,40,5.66,SA,1706563361
355,smirnykh,49.75,142.8333,-9.64,96,100,0.81,RU,1706563361
356,alesund,62.4723,6.1549,6.29,68,40,6.17,NO,1706563362
357,al bawiti,28.3492,28.8659,10.87,44,87,4.3,EG,1706563362
358,hidden valley lake,38.808,-122.5583,21.6,54,50,0.45,US,1706563363
359,qamdo,31.1667,97.2333,-11.06,46,8,1.15,CN,1706563364
360,dubbo,-32.25,148.6167,27.07,74,1,3.09,AU,1706563364
361,yanam,16.7333,82.2167,18.74,84,46,0.38,IN,1706563365
